Threshold,Precision,Recall,F1_Score,Total_Cost,Captured_Churners,Missed_Churners
0.35999999999999993,0.6712328767123288,0.601965601965602,0.6347150259067358,192500.0,245,162
0.36499999999999994,0.6767955801104972,0.601965601965602,0.6371911573472041,192350.0,245,162
0.36999999999999994,0.6836158192090396,0.5945945945945946,0.6360052562417872,194800.0,242,165
0.37499999999999994,0.6867816091954023,0.5872235872235873,0.633112582781457,197350.0,239,168
0.37999999999999995,0.6952662721893491,0.5773955773955773,0.6308724832214765,200650.0,235,172
0.38499999999999995,0.6973293768545994,0.5773955773955773,0.6317204301075269,200600.0,235,172
0.38999999999999996,0.7048192771084337,0.5749385749385749,0.6332882273342354,201300.0,234,173
0.39499999999999996,0.706060606060606,0.5724815724815725,0.6322930800542741,202150.0,233,174
0.3999999999999999,0.706060606060606,0.5724815724815725,0.6322930800542741,202150.0,233,174
0.4049999999999999,0.706060606060606,0.5724815724815725,0.6322930800542741,202150.0,233,174
0.4099999999999999,0.7071651090342679,0.5577395577395577,0.6236263736263736,207400.0,227,180
0.4149999999999999,0.7129337539432177,0.5552825552825553,0.6243093922651933,208150.0,226,181
0.41999999999999993,0.7170418006430869,0.547911547911548,0.6211699164345403,210700.0,223,184
0.42499999999999993,0.7308970099667774,0.5405405405405406,0.6214689265536724,213050.0,220,187
0.42999999999999994,0.7324414715719063,0.538083538083538,0.6203966005665722,213900.0,219,188
0.43499999999999994,0.7380952380952381,0.5331695331695332,0.6191155492154066,215550.0,217,190
0.43999999999999995,0.7422680412371134,0.5307125307125307,0.6189111747851003,216350.0,216,191
0.44499999999999995,0.7448275862068966,0.5307125307125307,0.6197991391678622,216300.0,216,191
0.4499999999999999,0.7448275862068966,0.5307125307125307,0.6197991391678622,216300.0,216,191
0.4549999999999999,0.7465277777777778,0.5282555282555282,0.6187050359712231,217150.0,215,192
0.4599999999999999,0.7562724014336918,0.5184275184275184,0.6151603498542274,220500.0,211,196
0.4649999999999999,0.7554744525547445,0.5085995085995086,0.6079295154185022,224050.0,207,200
0.4699999999999999,0.762962962962963,0.5061425061425061,0.6085672082717873,224800.0,206,201
0.4749999999999999,0.7620817843866171,0.5036855036855037,0.606508875739645,225700.0,205,202
0.4799999999999999,0.7660377358490567,0.4987714987714988,0.6041666666666666,227400.0,203,204
0.48499999999999993,0.7662835249042146,0.4914004914004914,0.5988023952095808,230050.0,200,207
0.48999999999999994,0.7713178294573644,0.48894348894348894,0.5984962406015037,230850.0,199,208
0.49499999999999994,0.7764705882352941,0.4864864864864865,0.5981873111782477,231650.0,198,209
0.49999999999999994,0.7747035573122529,0.48157248157248156,0.593939393939394,233450.0,196,211
0.5049999999999999,0.7729083665338645,0.47665847665847666,0.5896656534954408,235250.0,194,213
0.5099999999999999,0.7773279352226721,0.47174447174447176,0.5871559633027523,236950.0,192,215
0.5149999999999999,0.78099173553719,0.4643734643734644,0.5824345146379045,239550.0,189,218
0.5199999999999999,0.7966101694915254,0.4619164619164619,0.5847589424572317,240200.0,188,219
0.5249999999999999,0.8,0.4619164619164619,0.5856697819314641,240150.0,188,219
0.5299999999999999,0.7982832618025751,0.457002457002457,0.58125,241950.0,186,221
0.5349999999999999,0.8017241379310345,0.457002457002457,0.5821596244131455,241900.0,186,221
0.5399999999999999,0.8034934497816594,0.4520884520884521,0.5786163522012578,243650.0,184,223
0.5449999999999999,0.8070175438596491,0.4520884520884521,0.5795275590551181,243600.0,184,223
0.5499999999999999,0.8125,0.44717444717444715,0.5768621236133122,245300.0,182,225
0.5549999999999999,0.8190045248868778,0.44471744471744473,0.5764331210191083,246100.0,181,226
0.5599999999999999,0.821917808219178,0.44226044226044225,0.5750798722044729,246950.0,180,227
0.565,0.8341232227488151,0.43243243243243246,0.56957928802589,250350.0,176,231
0.57,0.8357487922705314,0.4250614250614251,0.5635179153094463,253000.0,173,234
0.575,0.8382352941176471,0.4201474201474201,0.5597381342062193,254750.0,171,236
0.58,0.8465346534653465,0.4201474201474201,0.5615763546798029,254650.0,171,236
0.585,0.8542713567839196,0.4176904176904177,0.5610561056105611,255450.0,170,237
0.59,0.8578680203045685,0.4152334152334152,0.5596026490066225,256300.0,169,238
0.595,0.8608247422680413,0.4103194103194103,0.5557404326123128,258050.0,167,240
0.6,0.8648648648648649,0.3931203931203931,0.5405405405405406,264250.0,160,247
0.605,0.8695652173913043,0.3931203931203931,0.5414551607445008,264200.0,160,247
0.61,0.8695652173913043,0.3931203931203931,0.5414551607445008,264200.0,160,247
0.615,0.8764044943820225,0.3832923832923833,0.5333333333333333,267700.0,156,251
0.62,0.8764044943820225,0.3832923832923833,0.5333333333333333,267700.0,156,251
0.625,0.8806818181818182,0.3808353808353808,0.5317324185248714,268550.0,155,252
0.63,0.8857142857142857,0.3808353808353808,0.5326460481099656,268500.0,155,252
0.635,0.8901734104046243,0.3783783783783784,0.5310344827586206,269350.0,154,253
0.6399999999999999,0.8901734104046243,0.3783783783783784,0.5310344827586206,269350.0,154,253
0.6449999999999999,0.8928571428571429,0.36855036855036855,0.5217391304347826,272900.0,150,257
0.6499999999999999,0.8982035928143712,0.36855036855036855,0.5226480836236934,272850.0,150,257
0.6549999999999999,0.896969696969697,0.36363636363636365,0.5174825174825175,274650.0,148,259
0.6599999999999999,0.901840490797546,0.36117936117936117,0.5157894736842106,275500.0,147,260
0.6649999999999999,0.9012345679012346,0.35872235872235875,0.5131810193321616,276400.0,146,261
0.6699999999999999,0.90625,0.35626535626535627,0.5114638447971781,277250.0,145,262
0.6749999999999999,0.9050632911392406,0.35135135135135137,0.5061946902654867,279050.0,143,264
0.6799999999999999,0.9044585987261147,0.3488943488943489,0.5035460992907801,279950.0,142,265
0.6849999999999999,0.9102564102564102,0.3488943488943489,0.5044404973357016,279900.0,142,265
0.69,0.9096774193548387,0.3464373464373464,0.501779359430605,280800.0,141,266
0.695,0.9150326797385621,0.343980343980344,0.5,281650.0,140,267
0.7,0.9139072847682119,0.33906633906633904,0.4946236559139785,283450.0,138,269
0.705,0.912751677852349,0.33415233415233414,0.4892086330935252,285250.0,136,271
0.71,0.9115646258503401,0.32923832923832924,0.48375451263537905,287050.0,134,273
0.715,0.9090909090909091,0.3194103194103194,0.4727272727272727,290650.0,130,277
0.72,0.9090909090909091,0.3194103194103194,0.4727272727272727,290650.0,130,277
0.725,0.9071428571428571,0.31203931203931207,0.4643510054844607,293350.0,127,280
0.73,0.9130434782608695,0.3095823095823096,0.46238532110091746,294200.0,126,281
0.735,0.9124087591240876,0.3071253071253071,0.45955882352941174,295100.0,125,282
0.74,0.917910447761194,0.3022113022113022,0.45471349353049906,296850.0,123,284
0.7449999999999999,0.9172932330827067,0.29975429975429974,0.45185185185185184,297750.0,122,285
0.7499999999999999,0.9166666666666666,0.2972972972972973,0.4489795918367347,298650.0,121,286
0.7549999999999999,0.9133858267716536,0.28501228501228504,0.4344569288389513,303150.0,116,291
0.7599999999999999,0.912,0.2800982800982801,0.42857142857142855,304950.0,114,293
0.7649999999999999,0.9105691056910569,0.2751842751842752,0.4226415094339623,306750.0,112,295
0.7699999999999999,0.9090909090909091,0.2702702702702703,0.4166666666666667,308550.0,110,297
0.7749999999999999,0.9090909090909091,0.2702702702702703,0.4166666666666667,308550.0,110,297
0.7799999999999999,0.9067796610169492,0.2628992628992629,0.4076190476190476,311250.0,107,300
0.7849999999999999,0.9067796610169492,0.2628992628992629,0.4076190476190476,311250.0,107,300
0.7899999999999999,0.9130434782608695,0.257985257985258,0.40229885057471265,313000.0,105,302
0.7949999999999999,0.9122807017543859,0.25552825552825553,0.39923224568138194,313900.0,104,303
0.7999999999999999,0.9196428571428571,0.25307125307125306,0.3969171483622351,314750.0,103,304
0.8049999999999999,0.9166666666666666,0.24324324324324326,0.3844660194174757,318350.0,99,308
0.8099999999999999,0.9166666666666666,0.24324324324324326,0.3844660194174757,318350.0,99,308
